id| userId| content| status| type
33| 1| Order has been placed [order id: 14, vendor name: Picante]| Unnotified| Transactional
34| 1| Credit top up [user id: 1]| Notified| Transactional
35| 1| Credit top up [user id: 1]| Notified| Transactional
36| 1| Credit top up [user id: 1]| Notified| Transactional
37| 1| Credit top up [user id: 1]| Notified| Transactional
38| 1| Order has been placed [order id: 1, vendor name: Modesto]| Unnotified| Transactional
39| 1| Order has been placed [order id: 1, vendor name: Modesto]| Unnotified| Transactional
40| 1| Order has been placed [order id: 1, vendor name: Picante]| Unnotified| Transactional
41| 1| Order has been accepted [order id: 1, vendor name: Picante]| Unnotified| Informational
42| 1| Order has been sent for delivery [order id: 1, vendor name: Picante]| Unnotified| Informational
43| 1| Order has been placed [order id: 1, vendor name: Picante]| Unnotified| Transactional
44| 1| Order has been accepted [order id: 1, vendor name: Picante]| Unnotified| Informational
45| 1| Order has been sent for delivery [order id: 1, vendor name: Picante]| Unnotified| Informational
46| 1| Order has been placed [order id: 2, vendor name: Picante]| Unnotified| Transactional
47| 1| Order has been accepted [order id: 2, vendor name: Picante]| Unnotified| Informational
48| 1| Order has been sent for delivery [order id: 2, vendor name: Picante]| Unnotified| Informational
49| 1| Order has been placed [order id: 1, vendor name: Picante]| Unnotified| Transactional
50| 1| Credit top up [user id: 1]| Unnotified| Transactional
51| 1| Credit top up [user id: 1]| Unnotified| Transactional
52| 1| Credit top up [user id: 1]| Unnotified| Transactional
53| 1| Credit top up [user id: 1]| Unnotified| Transactional
54| 1| Order has been placed [order id: 1, vendor name: Picante]| Unnotified| Transactional
55| 1| Order has been placed [order id: 1, vendor name: Picante]| Unnotified| Transactional
56| 1| Order has been placed [order id: 1, vendor name: Picante]| Unnotified| Transactional
57| 1| Order has been placed [order id: 2, vendor name: Picante]| Unnotified| Transactional
58| 1| Order has been placed [order id: 1, vendor name: Picante]| Unnotified| Transactional
59| 1| Order has been placed [order id: 2, vendor name: Picante]| Unnotified| Transactional
60| 1| Order has been placed [order id: 1, vendor name: Picante]| Unnotified| Transactional
61| 1| Order has been placed [order id: 1, vendor name: Picante]| Unnotified| Transactional
62| 1| Credit top up [user id: 1]| Unnotified| Transactional
63| 1| Credit top up [user id: 1]| Unnotified| Transactional
64| 1| Credit top up [user id: 1]| Unnotified| Transactional
65| 1| Order has been placed [order id: 2, vendor name: Picante]| Unnotified| Transactional
66| 1| Order has been accepted [order id: 1, vendor name: Picante]| Unnotified| Informational
67| 1| Order has been sent for delivery [order id: 1, vendor name: Picante]| Unnotified| Informational
68| 1| Delivery ongoing [order id: 1, vendor name: Picante]| Unnotified| Informational
69| 1| Order has been placed [order id: 1, vendor name: Picante]| Unnotified| Transactional
70| 1| Order has been placed [order id: 1, vendor name: Picante]| Unnotified| Transactional
71| 1| Order has been placed [order id: 1, vendor name: Picante]| Unnotified| Transactional
72| 1| Order has been placed [order id: 2, vendor name: Picante]| Unnotified| Transactional
73| 1| Order has been cancelled [order id: 1, vendor name: Picante]| Unnotified| Transactional
74| 1| Order has been placed [order id: 3, vendor name: Picante]| Unnotified| Transactional
75| 1| Credit top up [user id: 1]| Notified| Transactional
76| 1| Order has been placed [order id: 4, vendor name: Picante]| Unnotified| Transactional
77| 1| Order has been placed [order id: 5, vendor name: Picante]| Unnotified| Transactional
78| 5| Credit top up [user id: 5]| Unnotified| Transactional
79| 5| Credit top up [user id: 5]| Unnotified| Transactional
80| 7| Credit top up [user id: 5]| Unnotified| Transactional
81| 7| Credit top up [user id: 5]| Unnotified| Transactional
82| 7| Credit top up [user id: 5]| Unnotified| Transactional
83| 1| Credit top up [user id: 5]| Unnotified| Transactional
84| 1| Credit top up [user id: 5]| Unnotified| Transactional
85| 1| Credit top up [user id: 5]| Unnotified| Transactional
86| 1| Credit top up [user id: 5]| Unnotified| Transactional
87| 1| Credit top up [user id: 5]| Unnotified| Transactional
88| 1| Credit top up [user id: 5]| Unnotified| Transactional
89| 1| Credit top up [user id: 5]| Unnotified| Transactional
90| 1| Credit top up [user id: 5]| Unnotified| Transactional
91| 1| Credit top up [user id: 5]| Unnotified| Transactional
92| 1| Credit top up [user id: 5]| Unnotified| Transactional
93| 1| Credit top up [user id: 5]| Unnotified| Transactional
94| 1| Credit top up [user id: 5]| Unnotified| Transactional
95| 1| Credit top up [user id: 5]| Unnotified| Transactional
96| 1| Credit top up [user id: 5]| Unnotified| Transactional
97| 1| Credit top up [user id: 5]| Unnotified| Transactional
98| 1| Credit top up [user id: 5]| Unnotified| Transactional
99| 1| Credit top up [user id: 5]| Unnotified| Transactional
100| 1| Credit top up [user id: 5]| Unnotified| Transactional
101| 1| Credit top up [user id: 5]| Unnotified| Transactional
102| 1| Credit top up [user id: 5]| Unnotified| Transactional
103| 1| Credit top up [user id: 5]| Unnotified| Transactional
104| 1| Credit top up [user id: 5]| Unnotified| Transactional
105| 1| Credit top up [user id: 5]| Unnotified| Transactional
106| 1| Credit top up [user id: 5]| Unnotified| Transactional
107| 1| Credit top up [user id: 5]| Unnotified| Transactional
108| 1| Credit top up [user id: 5]| Notified| Transactional
109| 1| Credit top up [user id: 5]| Unnotified| Transactional
110| 1| Credit top up [user id: 5]| Notified| Transactional
111| 1| Credit top up [user id: 5]| Unnotified| Transactional
112| 1| Credit top up [user id: 5]| Unnotified| Transactional
113| 1| Credit top up [user id: 5]| Unnotified| Transactional
114| 1| Credit top up [user id: 5]| Unnotified| Transactional
115| 1| Credit top up [user id: 5]| Unnotified| Transactional
116| 1| Credit top up [user id: 5]| Unnotified| Transactional
117| 1| Credit top up [user id: 5]| Unnotified| Transactional
118| 1| Credit top up [user id: 5]| Unnotified| Transactional
119| 1| Order has been accepted [order id: 2, vendor name: Picante]| Unnotified| Informational
120| 1| Order has been sent for delivery [order id: 2, vendor name: Picante]| Unnotified| Informational
121| 1| Delivery ongoing [order id: 2, vendor name: Picante]| Notified| Informational
122| 1| Delivery completed [order id: 2, vendor name: Picante]| Notified| Informational
123| 8| Credit top up [transaction id: 75]| Unnotified| Transactional
124| 8| Credit top up [transaction id: 76]| Unnotified| Transactional
125| 2| Adam Smith requests for a credit top-up [user id: 1, amount: RM 17.00]| Notified| Push
126| 2| Adam Smith requests for a credit top-up [user id: 1, amount: RM 5.00]| Notified| Push
127| 2| Adam Smith requests for a credit top-up [user id: 1, amount: RM 5.00]| Notified| Push
128| 2| Adam Smith requests for a credit top-up [user id: 1, amount: RM 5.00]| Notified| Push
129| 1| Credit top up [transaction id: 77]| Unnotified| Transactional
130| 1| Credit top up [transaction id: 78]| Unnotified| Transactional
131| 1| Credit top up [transaction id: 79]| Unnotified| Transactional
132| 1| Credit top up [transaction id: 80]| Unnotified| Transactional
133| 1| Credit top up [transaction id: 81]| Unnotified| Transactional
134| 1| Credit top up [transaction id: 82]| Unnotified| Transactional
135| 1| Credit top up [transaction id: 83]| Notified| Transactional
136| 1| Credit top up [transaction id: 84]| Notified| Transactional
137| 1| Credit top up [transaction id: 85]| Notified| Transactional
